740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
16388,-1631,-8958,114,-59,83,135,-165,-245
16327,-1578,-9174,131,103,59,132,-168,-254
16360,-1612,-9397,133,143,47,133,-157,-247
16362,-1509,-9672,158,143,48,133,-157,-247
16193,-1446,-9935,178,104,54,148,-170,-244
15797,-1440,-10014,184,20,69,147,-165,-247
15553,-1479,-9620,202,51,77,145,-165,-243
15208,-1486,-10010,236,203,53,143,-163,-251
15007,-1518,-9222,252,171,50,142,-158,-244
14732,-1661,-8539,301,352,21,149,-163,-249
14284,-1847,-8733,354,521,-18,143,-157,-243
14319,-1873,-8352,355,393,-7,135,-157,-239
14339,-1942,-7677,364,319,5,136,-162,-242
14252,-2035,-7574,379,299,8,151,-157,-243
14493,-2177,-7523,379,201,27,144,-164,-234
13732,-3341,-6226,533,987,64,143,-165,-227
13484,-3454,-6031,533,934,69,140,-154,-222
13321,-3667,-6770,553,861,36,133,-161,-223
13176,-3683,-7564,516,474,40,140,-156,-216
13473,-3348,-7422,447,17,55,148,-160,-218
13866,-2844,-7237,419,-139,46,141,-153,-237
14365,-2463,-7459,362,-216,49,147,-153,-223
14716,-2129,-7669,286,-328,68,140,-154,-222
15014,-1939,-8089,221,-474,103,144,-156,-220
15256,-1841,-8333,200,-578,138,138,-156,-226
15254,-1744,-8236,222,-604,173,135,-157,-231
15389,-1710,-8408,265,-550,197,142,-150,-230
15266,-1693,-8122,312,-535,219,142,-158,-230
15117,-1792,-7862,356,-395,215,147,-161,-227
14853,-1909,-8040,375,-279,201,143,-151,-233
14627,-2131,-7415,387,-158,181,143,-155,-233
14065,-2465,-7761,408,70,138,144,-170,-230
13898,-2692,-7712,383,70,106,144,-164,-228
